[DEBUG][{2021-04-02 16:32:55,402][org.apache.ibatis.datasource.pooled.PooledDataSource]org.apache.ibatis.datasource.pooled.PooledDataSource.forceCloseAll(PooledDataSource.java:353)PooledDataSource forcefully closed/removed all connections.
[DEBUG][{2021-04-02 16:32:55,402][org.apache.ibatis.datasource.pooled.PooledDataSource]org.apache.ibatis.datasource.pooled.PooledDataSource.forceCloseAll(PooledDataSource.java:353)PooledDataSource forcefully closed/removed all connections.
[DEBUG][{2021-04-02 16:32:55,403][org.apache.ibatis.datasource.pooled.PooledDataSource]org.apache.ibatis.datasource.pooled.PooledDataSource.forceCloseAll(PooledDataSource.java:353)PooledDataSource forcefully closed/removed all connections.
[DEBUG][{2021-04-02 16:32:55,404][org.apache.ibatis.datasource.pooled.PooledDataSource]org.apache.ibatis.datasource.pooled.PooledDataSource.forceCloseAll(PooledDataSource.java:353)PooledDataSource forcefully closed/removed all connections.
[DEBUG][{2021-04-02 16:34:24,201][org.apache.ibatis.logging.LogFactory]org.apache.ibatis.logging.LogFactory.setImplementation(LogFactory.java:105)Logging initialized using 'class org.apache.ibatis.logging.log4j.Log4jImpl' adapter.
[DEBUG][{2021-04-02 16:34:24,206][org.apache.ibatis.logging.LogFactory]org.apache.ibatis.logging.LogFactory.setImplementation(LogFactory.java:105)Logging initialized using 'class org.apache.ibatis.logging.log4j.Log4jImpl' adapter.
[DEBUG][{2021-04-02 16:34:24,249][org.apache.ibatis.datasource.pooled.PooledDataSource]org.apache.ibatis.datasource.pooled.PooledDataSource.forceCloseAll(PooledDataSource.java:353)PooledDataSource forcefully closed/removed all connections.
[DEBUG][{2021-04-02 16:34:24,250][org.apache.ibatis.datasource.pooled.PooledDataSource]org.apache.ibatis.datasource.pooled.PooledDataSource.forceCloseAll(PooledDataSource.java:353)PooledDataSource forcefully closed/removed all connections.
[DEBUG][{2021-04-02 16:34:24,252][org.apache.ibatis.datasource.pooled.PooledDataSource]org.apache.ibatis.datasource.pooled.PooledDataSource.forceCloseAll(PooledDataSource.java:353)PooledDataSource forcefully closed/removed all connections.
[DEBUG][{2021-04-02 16:34:24,253][org.apache.ibatis.datasource.pooled.PooledDataSource]org.apache.ibatis.datasource.pooled.PooledDataSource.forceCloseAll(PooledDataSource.java:353)PooledDataSource forcefully closed/removed all connections.
[DEBUG][{2021-04-02 16:34:24,435][org.apache.ibatis.transaction.jdbc.JdbcTransaction]org.apache.ibatis.transaction.jdbc.JdbcTransaction.openConnection(JdbcTransaction.java:136)Opening JDBC Connection
[DEBUG][{2021-04-02 16:34:24,824][org.apache.ibatis.datasource.pooled.PooledDataSource]org.apache.ibatis.datasource.pooled.PooledDataSource.popConnection(PooledDataSource.java:424)Created connection 1660794022.
[DEBUG][{2021-04-02 16:34:24,825][org.apache.ibatis.transaction.jdbc.JdbcTransaction]org.apache.ibatis.transaction.jdbc.JdbcTransaction.setDesiredAutoCommit(JdbcTransaction.java:100)Setting autocommit to false on JDBC Connection [com.mysql.jdbc.JDBC4Connection@62fdb4a6]
[DEBUG][{2021-04-02 16:34:24,833][com.mf.dao.UserMapper.getUserByLimit]org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(BaseJdbcLogger.java:143)==>  Preparing: select * from mybatis.tb_user limit ?,? 
[DEBUG][{2021-04-02 16:34:24,885][com.mf.dao.UserMapper.getUserByLimit]org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(BaseJdbcLogger.java:143)==> Parameters: 0(Integer), 2(Integer)
